Region,Year,AvgTemperature
Africa,1995,52.97673713055389
Africa,1996,48.348380171740835
Africa,1997,37.28249510763201
Africa,1998,30.327075252133515
Africa,1999,34.153868682097425
Africa,2000,30.25645374034299
Africa,2001,39.14619744922062
Africa,2002,34.032092583845056
Africa,2003,34.28053849787433
Africa,2004,41.053457697380914
Africa,2005,47.777420878601674
Africa,2006,48.000330562901325
Africa,2007,64.60189617656226
Africa,2008,61.68450273224043
Africa,2009,68.41324931506819
Africa,2010,59.913363333985785
Africa,2011,61.29744618395316
Africa,2012,69.16082380325881
Africa,2013,69.38145743145726
Africa,2014,69.34383127527065
Africa,2015,70.11830601092885
Africa,2016,71.663864903268
Africa,2017,71.76192198115297
Africa,2018,69.36912368781351
Africa,2019,70.28376897614439
Africa,2020,74.8677981937092
Asia,1995,51.184688532516866
Asia,1996,60.293225650915936
Asia,1997,57.9639176915037
Asia,1998,53.73663405088066
Asia,1999,55.595146771037165
Asia,2000,54.11845433255249
Asia,2001,60.571804305283806
Asia,2002,59.58539334637953
Asia,2003,63.26089236790605
Asia,2004,62.384676034348026
Asia,2005,61.21485714285691
Asia,2006,62.9591780821916
Asia,2007,62.56406543519105
Asia,2008,64.24162373145974
Asia,2009,66.56202739726012
Asia,2010,67.62557883996553
Asia,2011,67.4484249736822
Asia,2012,67.0735138267924
Asia,2013,67.47865504358644
Asia,2014,67.26617683686197
Asia,2015,67.69533035270746
Asia,2016,67.07586520947162
Asia,2017,68.40205894562055
Asia,2018,66.41154836031535
Asia,2019,63.41934412619369
Asia,2020,61.68570457634787
Australia/South Pacific,1995,61.12634703196362
Australia/South Pacific,1996,60.811293260473576
Australia/South Pacific,1997,61.5770319634703
Australia/South Pacific,1998,49.237077625570805
Australia/South Pacific,1999,61.65369863013708
Australia/South Pacific,2000,61.784699453551994
Australia/South Pacific,2001,61.309497716894974
Australia/South Pacific,2002,59.30205479452056
Australia/South Pacific,2003,60.40598173515971
Australia/South Pacific,2004,61.856511839708666
Australia/South Pacific,2005,62.34273972602747
Australia/South Pacific,2006,62.06666666666677
Australia/South Pacific,2007,62.23219178082185
Australia/South Pacific,2008,60.66275045537338
Australia/South Pacific,2009,62.20392694063931
Australia/South Pacific,2010,62.230913242009244
Australia/South Pacific,2011,62.133881278538816
Australia/South Pacific,2012,61.299863387978206
Australia/South Pacific,2013,62.66995433789967
Australia/South Pacific,2014,62.40538812785395
Australia/South Pacific,2015,61.63014571948999
Australia/South Pacific,2016,61.36502732240436
Australia/South Pacific,2017,62.89255707762564
Australia/South Pacific,2018,61.04333333333324
Australia/South Pacific,2019,60.729634703196346
Australia/South Pacific,2020,68.11430348258699
Europe,1995,38.63447394057469
Europe,1996,36.53758955676995
Europe,1997,41.2918051750382
Europe,1998,40.93638356164395
Europe,1999,42.250435312024315
Europe,2000,46.42166970248939
Europe,2001,44.922228310502405
Europe,2002,43.83140943683416
Europe,2003,43.50427513880328
Europe,2004,47.62057117070647
Europe,2005,48.85939986953682
