"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2000",1.724827,
"AUS","EXCH","TOT","NATUSD","A","2001",1.933443,
"AUS","EXCH","TOT","NATUSD","A","2002",1.840563,
"AUS","EXCH","TOT","NATUSD","A","2003",1.541914,
"AUS","EXCH","TOT","NATUSD","A","2004",1.359752,
"AUS","EXCH","TOT","NATUSD","A","2005",1.309473,
"AUS","EXCH","TOT","NATUSD","A","2006",1.327973,
"AUS","EXCH","TOT","NATUSD","A","2007",1.195073,
"AUS","EXCH","TOT","NATUSD","A","2008",1.192178,
"AUS","EXCH","TOT","NATUSD","A","2009",1.282189,
"AUS","EXCH","TOT","NATUSD","A","2010",1.090159,
"AUS","EXCH","TOT","NATUSD","A","2011",0.969463,
"AUS","EXCH","TOT","NATUSD","A","2012",0.965801,
"AUS","EXCH","TOT","NATUSD","A","2013",1.035843,
"AUS","EXCH","TOT","NATUSD","A","2014",1.109363,
"AUS","EXCH","TOT","NATUSD","A","2015",1.33109,
"AUS","EXCH","TOT","NATUSD","A","2016",1.345214,
"AUS","EXCH","TOT","NATUSD","A","2017",1.304758,
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUT","EXCH","TOT","NATUSD","A","2000",1.082705,
"AUT","EXCH","TOT","NATUSD","A","2001",1.116533,
"AUT","EXCH","TOT","NATUSD","A","2002",1.057559,
"AUT","EXCH","TOT","NATUSD","A","2003",0.884048,
"AUT","EXCH","TOT","NATUSD","A","2004",0.803922,
"AUT","EXCH","TOT","NATUSD","A","2005",0.8038,
"AUT","EXCH","TOT","NATUSD","A","2006",0.796433,
"AUT","EXCH","TOT","NATUSD","A","2007",0.729672,
"AUT","EXCH","TOT","NATUSD","A","2008",0.679923,
"AUT","EXCH","TOT","NATUSD","A","2009",0.716958,
"AUT","EXCH","TOT","NATUSD","A","2010",0.754309,
"AUT","EXCH","TOT","NATUSD","A","2011",0.718414,
"AUT","EXCH","TOT","NATUSD","A","2012",0.778338,
"AUT","EXCH","TOT","NATUSD","A","2013",0.752945,
"AUT","EXCH","TOT","NATUSD","A","2014",0.752728,
"AUT","EXCH","TOT","NATUSD","A","2015",0.901296,
"AUT","EXCH","TOT","NATUSD","A","2016",0.903421,
"AUT","EXCH","TOT","NATUSD","A","2017",0.885206,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2000",1.082705,
"BEL","EXCH","TOT","NATUSD","A","2001",1.116533,
"BEL","EXCH","TOT","NATUSD","A","2002",1.057559,
"BEL","EXCH","TOT","NATUSD","A","2003",0.884048,
"BEL","EXCH","TOT","NATUSD","A","2004",0.803922,
"BEL","EXCH","TOT","NATUSD","A","2005",0.8038,
"BEL","EXCH","TOT","NATUSD","A","2006",0.796433,
"BEL","EXCH","TOT","NATUSD","A","2007",0.729672,
"BEL","EXCH","TOT","NATUSD","A","2008",0.679923,
"BEL","EXCH","TOT","NATUSD","A","2009",0.716958,
"BEL","EXCH","TOT","NATUSD","A","2010",0.754309,
"BEL","EXCH","TOT","NATUSD","A","2011",0.718414,
"BEL","EXCH","TOT","NATUSD","A","2012",0.778338,
"BEL","EXCH","TOT","NATUSD","A","2013",0.752945,
"BEL","EXCH","TOT","NATUSD","A","2014",0.752728,
"BEL","EXCH","TOT","NATUSD","A","2015",0.901296,
"BEL","EXCH","TOT","NATUSD","A","2016",0.903421,
"BEL","EXCH","TOT","NATUSD","A","2017",0.885206,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"CAN","EXCH","TOT","NATUSD","A","2000",1.485394,
"CAN","EXCH","TOT","NATUSD","A","2001",1.54884,
"CAN","EXCH","TOT","NATUSD","A","2002",1.570343,
"CAN","EXCH","TOT","NATUSD","A","2003",1.401015,
"CAN","EXCH","TOT","NATUSD","A","2004",1.301282,
"CAN","EXCH","TOT","NATUSD","A","2005",1.211405,
"CAN","EXCH","TOT","NATUSD","A","2006",1.134345,
"CAN","EXCH","TOT","NATUSD","A","2007",1.074046,
"CAN","EXCH","TOT","NATUSD","A","2008",1.067087,
"CAN","EXCH","TOT","NATUSD","A","2009",1.141535,
"CAN","EXCH","TOT","NATUSD","A","2010",1.030113,
